candidate_id,status,selected_rank,score,lambda_max,occupancy,span_x,span_y,aspect_ratio,min_x,max_x,min_y,max_y,a0,a1,a2,a3,a4,a5,b0,b1,b2,b3,b4,b5
296,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.539322,-0.834130,-0.201690,-0.357078,0.745427,0.666618,-0.288273,0.594065,-1.036979,0.830993,-0.116838,-1.157739
297,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.200637,-0.518739,0.972333,0.274460,-1.043957,-0.463079,-0.977186,-0.331742,0.172662,-0.117104,-0.949324,-0.980969
298,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.606927,0.537836,-1.052961,0.029876,-1.078072,0.012154,-1.007138,0.771236,0.389475,-0.379866,0.168599,-0.596614
299,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651183,-0.021398,0.241883,-0.957526,-0.201303,0.545698,-0.926142,-1.156404,0.415281,-0.369390,-0.444506,0.245594
300,collapsed,,0.000000,-0.807421,0.000000,0.000000,0.000000,0.000000,0.339173,0.339173,0.406429,0.406429,0.666069,-0.440104,-0.135813,0.394713,-0.608951,0.188173,-0.039597,1.059211,-0.817748,1.033537,0.273302,-0.440167
301,accepted,,0.023964,0.206140,0.116250,4.624206,12.333215,0.374939,-3.211775,1.412432,-8.679834,3.653382,-0.948923,0.162759,-0.097878,-0.020727,-0.590000,-0.009186,-0.477428,0.207232,-0.092670,0.668031,-1.062225,-0.358996
302,collapsed,,0.000000,-1.688014,0.000000,0.000000,0.000000,0.000000,0.079145,0.079145,0.553840,0.553840,0.403312,-0.178038,0.758967,-0.953633,-0.854295,0.652391,0.518334,0.770791,-0.781118,0.586057,-0.405956,0.582062
303,collapsed,,0.000000,-0.456688,0.000000,0.000000,0.000000,0.000000,-0.177017,-0.177017,-0.200252,-0.200252,-0.246615,-0.865215,-1.029493,0.334923,0.477443,0.808879,-0.105580,0.592019,0.675602,-0.166797,0.159170,0.666876
304,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.339276,-1.017474,-0.268638,0.128671,-0.311831,-1.197963,-0.159549,-0.299042,0.953356,1.115740,0.798277,0.743644
305,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.610264,0.479361,-0.188807,0.510553,-0.945151,1.007629,0.075240,-0.229366,0.905245,-0.840687,-0.507372,0.213527
